"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
47,645261,"Alcantara, Sandy",47,100,0.2,0.1,0.25,0.3,0.271,0.252,0.162,2,10,82.6,13.1,2122,94.1,93.14,10,25,22,-1,5.85,112,148,114,151,294,322,302
37,669432,"Rogers, Trevor",37,100,0.4,0.2,0.667,0.6,0.526,0.468,0.347,2,5,85.1,13,2012,88.9,89.37,4,20,17,0.5,6.81,109,147,131,146,286,317,305
31,592836,"Walker, Taijuan",31,100,0.444,0.444,0.5,0.889,0.567,0.718,0.511,4,9,97.3,28.3,2063,88,87.48,6,18,13,-0.5,5.94,122,166,110,152,296,329,317
29,657140,"Wright, Kyle",29,100,0.2,0.6,0,0.8,0.46,0.645,0.403,1,5,101.1,16.4,2177,88.6,89.16,5,18,11,0.6000000000000085,6.5,125,153,148,154,293,327,301
29,605135,"Bassitt, Chris",29,100,0,0,0,0,0.115,0.379,0.175,0,5,92.2,50.5,2252,85.3,85.07,7,14,15,-0.20000000000000284,6.26,125,172,117,151,289,328,308
28,592351,"Gray, Jon",28,100,0.25,0,0.333,0.25,0.315,0.383,0.26,1,4,92.1,34,2026,92.9,92.93,3,14,14,0,6.5,119,160,165,149,308,329,303
27,453286,"Scherzer, Max",27,100,0.375,0.75,0.2,1.125,0.635,0.586,0.351,3,8,94.7,34.6,2140,90.4,89.92,6,16,11,-0.5,6.23,112,162,109,151,295,333,306
25,605288,"Houser, Adrian",25,100,0.167,0.167,0.333,0.333,0.21,0.228,0.142,1,6,87.8,40.7,1955,89,89.16,6,14,11,0.20000000000000284,6.51,121,165,133,140,297,323,298
24,543606,"Odorizzi, Jake",24,100,0.25,0.25,1,0.5,0.315,0.062,0.069,1,4,93.7,-5,2043,89.6,89.43,4,12,12,-0.19999999999998863,6.14,110,150,160,152,299,325,305
23,641154,"López, Pablo",23,100,0,0,0,0,0.115,0.358,0.245,0,5,86,11.3,2147,90.1,90.8,5,10,13,0.7000000000000028,6.88,121,161,132,154,294,317,304
23,608566,"Márquez, Germán",23,100,0.2,0,0.25,0.2,0.177,0.357,0.34,1,5,95.6,8.8,2312,89.4,87.92,4,14,9,-1.5,5.33,123,149,134,151,306,339,308
23,608331,"Fried, Max",23,100,0.125,0.125,0.167,0.25,0.158,0.23,0.225,1,8,95.6,-18.3,2093,92.8,92.97,6,14,9,0.20000000000000284,6.5,121,159,155,148,305,325,297
22,450203,"Morton, Charlie",22,100,0.75,0.25,0.6,1,0.62,0.494,0.492,3,4,90.4,19.6,2607,90,89.49,2,12,10,-0.5,6.12,117,151,132,152,297,332,313
22,672851,"Adon, Joan",22,100,0.667,0,0.667,0.667,0.589,0.532,0.545,2,3,101.1,7.7,2153,90.1,90.67,1,16,6,0.6000000000000085,6.46,127,178,128,150,299,318,306
21,518516,"Bumgarner, Madison",21,100,0.6,0.4,0.6,1,0.683,0.544,0.457,3,5,95.4,9.6,2209,87.7,87.79,1,12,9,0.09999999999999432,6.54,100,145,115,148,295,322,292
21,665795,"Cabrera, Edward",21,100,0.333,1,0,1.333,0.691,0.626,0.356,1,3,98.4,4,2137,90.4,90.2,4,14,7,-0.20000000000000284,6.3,120,158,124,151,297,323,295
21,621345,"Minter, A.J.",21,100,0.25,0.25,0.5,0.5,0.315,0.159,0.137,1,4,101.8,32,2459,95.3,95.29,3,13,8,0,6.22,111,151,165,151,301,324,303
19,571578,"Corbin, Patrick",19,100,0.4,0,0.4,0.4,0.409,0.359,0.297,2,5,96.5,13.6,2113,87.1,87.87,1,9,10,0.8000000000000114,6.73,118,173,123,150,307,324,323
19,607536,"Freeland, Kyle",19,100,0.333,0.5,0.25,0.833,0.493,0.69,0.482,2,6,86.1,3.4,2314,87.1,87.95,3,12,7,0.9000000000000057,6.57,111,146,129,150,303,338,304
19,666200,"Luzardo, Jesús",19,100,0,0,,0,0,0,,0,3,,,2136,90.7,89.88,4,11,8,-0.7999999999999972,5.8,115,149,142,156,290,322,306
19,675911,"Strider, Spencer",19,100,0,0,0,0,0,0.082,0.087,0,4,91.3,13.7,2343,94.7,95.84,2,12,7,1.0999999999999943,6.91,92,153,139,151,310,328,314
18,607200,"Fedde, Erick",18,100,0.5,0.75,0.333,1.25,0.729,0.655,0.409,2,4,99.4,-3.8,1866,90.6,91.47,1,6,12,0.9000000000000057,6.59,124,184,120,154,297,317,305
17,621242,"Díaz, Edwin",17,100,0.25,0.75,,1,0.518,0.055,0.03,1,4,96.1,35,2223,92.1,93.65,7,14,3,1.5,7.24,110,149,121,151,297,333,323
17,621121,"McCullers Jr., Lance",17,100,0.333,0,0.5,0.333,0.295,0.236,0.193,1,3,96,22,2712,85.8,84.43,3,10,7,-1.3999999999999915,5.62,128,177,125,155,295,329,296
17,570257,"Rodríguez, Joely",17,100,0,0,0,0,0.172,0.27,0.07,0,3,95.6,31,1695,90.3,89.85,4,9,8,-0.5,6.35,105,153,116,150,288,331,305
17,547179,"Lorenzen, Michael",17,100,0,0,,0,0.23,0.23,,0,2,,,2110,89.9,89.06,4,6,11,-0.8000000000000114,5.8,123,152,124,169,290,331,302
16,592662,"Ray, Robbie",16,100,0.333,0.333,0.5,0.667,0.42,0.334,0.345,1,3,92.2,-0.5,2220,89.6,90.07,3,10,6,0.5,6.65,128,169,126,153,287,319,301
16,668678,"Gallen, Zac",16,100,0.4,0,0.5,0.4,0.354,0.372,0.377,2,5,91.6,15,2041,87.8,88.14,3,10,6,0.29999999999999716,6.64,122,149,131,159,295,323,301
16,607074,"Rodón, Carlos",16,100,0,0,0,0,0,0.064,0.071,0,3,92.2,-8,2482,92,91.88,6,9,7,-0.09999999999999432,6.16,100,145,109,153,296,318,294
16,607179,"Weems, Jordan",16,100,0,0,0,0,0,0.489,0.266,0,4,102.4,32,1971,94.7,94.94,4,9,7,0.20000000000000284,6.53,116,156,131,155,296,314,306
16,596295,"Gomber, Austin",16,100,0.333,0,0.5,0.333,0.295,0.361,0.374,1,3,93,5,2386,82.8,83.13,4,10,6,0.29999999999999716,6.64,129,152,131,149,297,315,293
15,669203,"Burnes, Corbin",15,100,0,0,0,0,0,0.201,0.212,0,3,107.2,7,2574,93.2,93.51,3,7,8,0.29999999999999716,6.37,120,154,114,147,295,325,296
15,669022,"Gore, MacKenzie",15,100,0,0,0,0,0,0.006,0.007,0,3,87.5,58,2080,90.1,90.99,1,8,7,0.9000000000000057,6.98,127,167,126,155,280,317,314
14,674072,"Henry, Tommy",14,100,0.5,0,1,0.5,0.524,0.317,0.141,1,2,102.2,-12,1897,86.8,87.07,2,8,6,0.29999999999999716,6.64,99,154,105,150,303,329,302
14,596001,"Junis, Jakob",14,100,0.667,0.333,0.667,1,0.709,0.352,0.228,2,3,92.3,18.7,1901,86.4,85.39,1,6,8,-1,5.79,104,161,139,152,295,335,299
13,605397,"Musgrove, Joe",13,100,0.333,0,0.5,0.333,0.295,0.596,0.599,1,3,96.6,13,2555,86.6,85.47,4,9,4,-1.0999999999999943,5.89,111,164,129,152,288,307,300
13,543339,"Hudson, Daniel",13,100,0,0,0,0,0,0.403,0.551,0,1,91.7,21,2438,94.6,94.36,1,8,5,-0.19999999999998863,6.42,111,141,129,147,289,323,299
13,656731,"Megill, Tylor",13,100,0.25,0,0.333,0.25,0.221,0.177,0.183,1,4,93.4,28.3,1949,92.8,93.87,3,9,4,1.1000000000000085,7.19,126,178,115,152,292,334,323
13,641447,"Castano, Daniel",13,100,0.333,0,0.333,0.333,0.295,0.344,0.351,1,3,99.4,3,2220,87,86.7,2,8,5,-0.29999999999999716,6.07,110,128,102,143,289,315,308
13,434378,"Verlander, Justin",13,100,0,0,,0,0,0,,0,2,,,2378,92.8,91.74,2,7,6,-1.0999999999999943,5.91,129,178,134,155,295,331,298
13,641771,"Kuhl, Chad",13,100,0.333,0,1,0.333,0.295,0.268,0.27,1,3,112.4,8,2229,87.9,88.55,3,7,6,0.6999999999999886,6.38,114,148,122,151,322,342,318
12,608344,"Irvin, Cole",12,100,0,0,0,0,0.24,0.383,0.108,0,2,98.8,37,1891,85.3,85.39,2,4,8,0.10000000000000853,6.34,128,168,141,136,280,326,311
12,622098,"Smith, Drew",12,100,0,0,0,0,0.23,0.457,0.359,0,2,98.6,-4.5,2491,88.4,87.21,4,7,5,-1.2000000000000028,5.91,113,165,123,150,296,330,319
12,676720,"Romero, Tommy",12,100,0,0,0,0,0.23,0.309,0.124,0,2,88.8,24.5,1649,86.7,87.44,1,5,7,0.7000000000000028,6.8,112,172,125,152,292,317,306
12,641835,"Mayza, Tim",12,100,0,0,,0,0,0,,0,2,,,2006,94.4,94.03,3,3,9,-0.29999999999999716,6.32,110,151,121,155,281,319,296
12,669276,"Lee, Dylan",12,100,0,0,0,0,0,0.205,0.205,0,5,87.8,-0.7,2180,88.9,89.03,2,9,3,0.09999999999999432,6.44,128,164,152,149,299,325,295
12,641778,"Lauer, Eric",12,100,0,0,,0,0,0,,0,3,,,2295,89.1,88.69,3,6,6,-0.3999999999999915,6.21,126,166,150,128,297,321,294
11,623211,"Brazoban, Huascar",11,100,,,,,0.689,0.689,,0,0,,,2052,90.1,88.98,2,3,8,-1.0999999999999943,5.74,93,146,135,152,290,322,297
11,548389,"Stripling, Ross",11,100,0.667,0,0.667,0.667,0.589,0.346,0.38,2,3,84.2,15.7,1915,87.5,87.28,1,7,4,-0.20000000000000284,6.09,121,153,117,157,290,321,306
11,542881,"Anderson, Tyler",11,100,0.667,1.333,1,2,1.111,0.746,0.48,2,3,91.3,18,2220,87.5,87.21,2,7,4,-0.29999999999999716,6.15,114,147,122,140,285,315,299
11,657277,"Webb, Logan",11,100,0,0,0,0,0,0.164,0.181,0,3,94.3,-17,1836,86.7,87.25,2,7,4,0.5999999999999943,6.74,123,152,132,152,288,339,305
11,656849,"Peterson, David",11,100,0,0,,0,0.344,0.344,,0,1,,,2139,88.6,89.56,1,2,9,1,7.1,125,169,108,154,284,327,307
11,592332,"Gausman, Kevin",11,100,0,0,0,0,0,0.11,0.12,0,3,91.8,-10,1665,88.5,88.65,3,8,3,0.09999999999999432,6.59,123,151,121,156,285,325,303
11,468504,"Chacín, Jhoulys",11,100,0.667,0.333,0.667,1,0.715,0.417,0.418,2,3,98.7,15.7,2352,88,87.52,1,6,5,-0.5,5.97,113,146,137,151,305,339,298
11,541640,"Ramírez, Erasmo",11,100,0,0,0,0,0.23,0.46,0.342,0,2,96.2,25,2146,89.2,89.34,1,4,7,0.09999999999999432,6.38,125,160,142,153,303,321,316
11,593423,"Montas, Frankie",11,100,0.333,0.333,0.333,0.667,0.42,0.347,0.355,1,3,87.5,7.3,1802,89.8,89.29,1,8,3,-0.5,5.91,116,166,143,144,293,331,308
10,642545,"Barría, Jaime",10,100,0.667,2,0,2.667,1.381,0.83,0.411,2,3,97,43.7,1967,87.8,87.37,1,8,2,-0.3999999999999915,6.11,121,155,147,174,290,330,296
10,592761,"Smith, Caleb",10,100,0.5,0,0.5,0.5,0.524,0.293,0.102,1,2,81.6,-20.5,2356,89.9,88.6,1,4,6,-1.3000000000000114,5.78,121,149,113,153,298,325,293
10,669713,"Wesneski, Hayden",10,100,0,0,0,0,0,0.125,0.179,0,2,73.5,-14.7,2152,89.4,89.82,1,7,3,0.3999999999999915,6.69,107,149,111,151,299,329,312
9,542888,"Armstrong, Shawn",9,100,0,0,,0,0.344,0.344,,0,1,,,2323,89.9,90.22,3,4,5,0.29999999999999716,6.57,105,165,147,149,292,322,322
9,663776,"Sandoval, Patrick",9,100,0.5,0.5,0.5,1,0.65,0.521,0.433,1,2,86.3,16,2410,87.4,86.58,0,3,6,-0.8000000000000114,5.91,95,155,109,165,288,333,304
9,669302,"Gilbert, Logan",9,100,0,0,0,0,0.344,0.358,0.02,0,1,84.4,50,2006,91.6,93.56,1,4,5,2,7.31,97,153,113,147,296,322,308
9,456034,"Price, David",9,100,1,0,1,1,0.884,0.504,0.557,1,1,103.3,5,1995,89.6,88.86,0,6,3,-0.6999999999999886,6.04,124,150,136,154,285,322,296
9,623167,"Flexen, Chris",9,100,0.5,0,0.5,0.5,0.524,0.538,0.477,1,2,88,30,2078,84.7,84.12,0,3,6,-0.6000000000000085,6.03,121,168,117,152,286,320,304
9,595345,"Okert, Steven",9,100,0.333,0.333,0.333,0.667,0.42,0.443,0.482,1,3,93.3,3.7,2362,89.1,89.03,2,7,2,-0.09999999999999432,6.49,125,152,153,153,293,322,311
9,663372,"Feltner, Ryan",9,100,0.667,0.667,1,1.333,0.828,0.54,0.345,2,3,95,23.5,2117,87.6,87.89,2,5,4,0.30000000000001137,6.46,122,163,120,151,294,330,291
9,606625,"Moronta, Reyes",9,100,0.5,0,0.5,0.5,0.442,0.153,0.164,1,2,50.1,-34,2105,91.3,91.67,2,5,4,0.4000000000000057,6.5,124,153,151,154,296,322,300
9,621111,"Buehler, Walker",9,100,0.5,0.5,0.5,1,0.65,0.4,0.282,1,2,99,-21,2499,87.2,87.77,1,5,4,0.5999999999999943,6.59,89,159,140,151,296,319,303
9,664062,"Gonsolin, Tony",9,100,0,0,0,0,0,0.194,0.205,0,2,93.8,3,1862,85.8,85.4,2,6,3,-0.3999999999999915,6.02,106,157,134,150,287,322,297
9,656353,"Davidson, Tucker",9,100,0,0,0,0,0,0.157,0.171,0,2,77.9,-43,2183,89.8,89.77,0,4,5,0,6.32,122,153,116,154,299,338,301
8,642547,"Peralta, Freddy",8,100,0.5,0.5,1,1,0.631,0.606,0.387,1,2,105.9,21,2280,88.6,89.24,2,5,3,0.6000000000000085,6.94,100,147,120,147,291,324,293
8,622694,"Hernandez, Elieser",8,100,0.667,1,0.5,1.667,0.985,0.467,0.349,2,3,88.2,15,2086,87.6,87.76,1,5,3,0.20000000000000284,6.56,126,156,124,155,300,326,286
8,547001,"Poteet, Cody",8,100,0,0,0,0,0,0.289,0.312,0,1,102.4,-5,2159,91.4,90.65,1,4,4,-0.7000000000000028,6.04,88,145,142,147,292,315,309
8,664948,"Misiewicz, Anthony",8,100,1,1,1,2,1.261,0.604,0.506,1,1,105.1,18,2629,83.3,82.24,1,5,3,-1.0999999999999943,5.76,128,170,138,153,284,317,293
8,544365,"Bañuelos, Manny",8,100,0,0,0,0,0,0.059,0.06,0,1,84.2,-25,2159,88.3,88.61,0,6,2,0.29999999999999716,6.54,121,168,134,156,294,320,290
8,471911,"Carrasco, Carlos",8,100,0.333,0,0.333,0.333,0.295,0.296,0.306,1,3,83.9,11.7,2057,92.6,92.6,0,4,4,0.09999999999999432,6.3,121,173,124,152,300,334,310
8,596112,"Stephenson, Robert",8,100,0.5,0,0.5,0.5,0.442,0.645,0.436,1,2,98.1,25.5,2681,89.6,89.74,1,3,5,0.10000000000000853,6.16,122,154,125,152,298,335,304
8,527048,"Pérez, Martín",8,100,0,0,0,0,0,0.088,0.095,0,3,93.7,-3,2020,92.1,91.33,0,3,5,-0.7999999999999972,6,103,147,123,152,300,326,292
8,605507,"Thompson, Zach",8,100,0,0,0,0,0,0.191,0.208,0,2,94.5,-14.5,2331,82.2,82.21,2,7,1,0,6.36,113,170,117,149,289,318,298
8,681217,"Silseth, Chase",8,100,0,0,0,0,0,0.611,0.651,0,1,99.5,6,1596,88,87.32,1,4,4,-0.7000000000000028,6.01,127,154,120,176,290,330,293
8,605483,"Snell, Blake",8,100,0,0,0,0,0.36,0.398,0.082,0,1,71.7,-7,2389,94.1,94.61,1,3,5,0.5,6.76,130,175,128,156,285,316,319
7,622075,"Almonte, Yency",7,100,0,0,0,0,0,0.111,0.12,0,2,80.9,44,2205,91.8,92.86,1,4,3,1.1000000000000085,6.77,124,168,133,154,292,325,299
7,656887,"Reid-Foley, Sean",7,100,0,0,0,0,0,0.047,0.048,0,1,85.6,-28,1849,92.3,93.66,1,4,3,1.4000000000000057,7.04,123,170,106,154,294,327,326
7,677053,"Nardi, Andrew",7,100,,,,,0.689,0.689,,0,0,,,2396,88,88.26,2,3,4,0.29999999999999716,6.76,129,149,154,154,292,319,293
